grant_id,project_title,faculty_name,institution,award_amount,start_date,abstract
5900035,"Contract For Construction and Operation of the Radio        Astronomy Observatory at Green Bank, Pocohontas County",Robert E Hughes,"Associated Universities, Inc.",4000000.0,06/30/1967,"Research project focused on Contract For Construction and Operation of the Radio        Astronomy Observatory at Green Bank, Pocohontas County at Associated Universities, Inc.."
5900036,Contract For Bid on Preparation of Reports on Scientific    Information Activities of Federal Agencies,Jeremy Taylor,Scripta Technica Inc,,06/30/1967,Research project focused on Contract For Bid on Preparation of Reports on Scientific    Information Activities of Federal Agencies at Scripta Technica Inc.
5900037,Task Order For the Pacific  Science Board,Harold J Coolidge,National Academy of Sciences,291000.0,06/30/1967,Research project focused on Task Order For the Pacific  Science Board at National Academy of Sciences.
5900038,Contract For Committee on Educational Policies in Agricul-  Ture,May Beth Givan,National Academy of Sciences,370030.0,06/30/1967,Research project focused on Contract For Committee on Educational Policies in Agricul-  Ture at National Academy of Sciences.
5900039,Task Order For Support of a Committee on          Scientific and Technical Communication (C310-     Task Order 111),C. E Sunderlin,National Academy of Sciences,345000.0,06/30/1967,Research project focused on Task Order For Support of a Committee on          Scientific and Technical Communication (C310-     Task Order 111) at National Academy of Sciences.
5900040,Task Order For Partial Support of the             Committee On Research in the Life Sciences        (C310-Task Order 120),May Beth Givan,National Academy of Sciences,78000.0,02/15/1961,Research project focused on Task Order For Partial Support of the             Committee On Research in the Life Sciences        (C310-Task Order 120) at National Academy of Sciences.
5900041,General Support of a Council on Biological        Sciences INformation,Russell B Stevens,National Academy of Sciences,50000.0,06/30/1967,Research project focused on General Support of a Council on Biological        Sciences INformation at National Academy of Sciences.
5900042,Task Order For a Study and Report on              Earthquake Engineering Research (C310-            Task Order 128),May Beth Givan,National Academy of Sciences,76000.0,06/30/1967,Research project focused on Task Order For a Study and Report on              Earthquake Engineering Research (C310-            Task Order 128) at National Academy of Sciences.
5900046,Contract For Computer-Aided Research in           Machine TrAnslation (C372),May Beth Givan,Unknown Institution,240000.0,06/30/1967,Research project focused on Contract For Computer-Aided Research in           Machine TrAnslation (C372) at Unknown Institution.
5900047,Contract For Operation and Maintenance of the     Physics AnD Astronomy Section of the National     Register of ScientifIc and Technical Personnel    (C380),May Beth Givan,American Institute of Physics,246813.0,06/30/1967,Research project focused on Contract For Operation and Maintenance of the     Physics AnD Astronomy Section of the National     Register of ScientifIc and Technical Personnel    (C380) at American Institute of Physics.
5900048,Contract For the Operation and Maintenance of     the MeteorOlogy Section of the National           Register of ScientifIc and Technical              Personnel (C385),Kenneth C Spengler,American Meteorological Society,87163.0,06/30/1967,Research project focused on Contract For the Operation and Maintenance of     the MeteorOlogy Section of the National           Register of ScientifIc and Technical              Personnel (C385) at American Meteorological Society.
5900049,Contract For-The Operation and Maintenance        of the CheMical Sciences Section of the           National Register Of Scientific and Technical     Personnel (C387),Judy A Stamps,American Chemical Society (ACS),299114.0,06/30/1967,Research project focused on Contract For-The Operation and Maintenance        of the CheMical Sciences Section of the           National Register Of Scientific and Technical     Personnel (C387) at American Chemical Society (ACS).
5900050,Contract For the Operation and Maintenance of the Psycho-   Logical Science Section of the National Register of Scien - Tific and Technical Personnel,May Beth Givan,American Psychological Assoc,141542.0,06/30/1967,Research project focused on Contract For the Operation and Maintenance of the Psycho-   Logical Science Section of the National Register of Scien - Tific and Technical Personnel at American Psychological Assoc.
5900051,Contract For-The Operation and Maintenance of     the MathemAtical and Statistical Sciences         Section of the NatioNal Register of Scientific    and Technical Personnel (C392),Gordon L Walker,American Mathematical Society,240824.0,06/30/1967,Research project focused on Contract For-The Operation and Maintenance of     the MathemAtical and Statistical Sciences         Section of the NatioNal Register of Scientific    and Technical Personnel (C392) at American Mathematical Society.
